Time,Platform,Product,Sales (15 min)
2025-01-02 01:25:56.764215,Shopee,Búp bê Barbie,49
2025-01-02 01:25:56.764215,Shopee,Labubu,25
2025-01-02 01:25:56.764215,Shopee,Capybara,7
2025-01-02 01:25:56.764215,Shopee,Gấu bông,29
2025-01-02 01:25:56.764215,TikTok,Búp bê Barbie,35
2025-01-02 01:25:56.764215,TikTok,Labubu,33
2025-01-02 01:25:56.764215,TikTok,Capybara,13
2025-01-02 01:25:56.764215,TikTok,Gấu bông,4
2025-01-02 01:25:56.764215,Lazada,Búp bê Barbie,29
2025-01-02 01:25:56.764215,Lazada,Labubu,32
2025-01-02 01:25:56.764215,Lazada,Capybara,3
2025-01-02 01:25:56.764215,Lazada,Gấu bông,19
2025-01-02 01:40:56.764215,Shopee,Búp bê Barbie,44
2025-01-02 01:40:56.764215,Shopee,Labubu,48
2025-01-02 01:40:56.764215,Shopee,Capybara,3
2025-01-02 01:40:56.764215,Shopee,Gấu bông,3
2025-01-02 01:40:56.764215,TikTok,Búp bê Barbie,32
2025-01-02 01:40:56.764215,TikTok,Labubu,24
2025-01-02 01:40:56.764215,TikTok,Capybara,21
2025-01-02 01:40:56.764215,TikTok,Gấu bông,12
2025-01-02 01:40:56.764215,Lazada,Búp bê Barbie,20
2025-01-02 01:40:56.764215,Lazada,Labubu,49
2025-01-02 01:40:56.764215,Lazada,Capybara,33
2025-01-02 01:40:56.764215,Lazada,Gấu bông,35
2025-01-02 01:55:56.764215,Shopee,Búp bê Barbie,28
2025-01-02 01:55:56.764215,Shopee,Labubu,28
2025-01-02 01:55:56.764215,Shopee,Capybara,12
2025-01-02 01:55:56.764215,Shopee,Gấu bông,8
2025-01-02 01:55:56.764215,TikTok,Búp bê Barbie,35
2025-01-02 01:55:56.764215,TikTok,Labubu,21
2025-01-02 01:55:56.764215,TikTok,Capybara,31
2025-01-02 01:55:56.764215,TikTok,Gấu bông,46
2025-01-02 01:55:56.764215,Lazada,Búp bê Barbie,39
2025-01-02 01:55:56.764215,Lazada,Labubu,15
2025-01-02 01:55:56.764215,Lazada,Capybara,48
2025-01-02 01:55:56.764215,Lazada,Gấu bông,45
2025-01-02 02:10:56.764215,Shopee,Búp bê Barbie,7
2025-01-02 02:10:56.764215,Shopee,Labubu,20
2025-01-02 02:10:56.764215,Shopee,Capybara,34
2025-01-02 02:10:56.764215,Shopee,Gấu bông,29
2025-01-02 02:10:56.764215,TikTok,Búp bê Barbie,39
2025-01-02 02:10:56.764215,TikTok,Labubu,41
2025-01-02 02:10:56.764215,TikTok,Capybara,33
2025-01-02 02:10:56.764215,TikTok,Gấu bông,34
2025-01-02 02:10:56.764215,Lazada,Búp bê Barbie,20
2025-01-02 02:10:56.764215,Lazada,Labubu,46
2025-01-02 02:10:56.764215,Lazada,Capybara,22
2025-01-02 02:10:56.764215,Lazada,Gấu bông,5
2025-01-02 02:25:56.764215,Shopee,Búp bê Barbie,40
2025-01-02 02:25:56.764215,Shopee,Labubu,2
2025-01-02 02:25:56.764215,Shopee,Capybara,14
2025-01-02 02:25:56.764215,Shopee,Gấu bông,34
2025-01-02 02:25:56.764215,TikTok,Búp bê Barbie,15
2025-01-02 02:25:56.764215,TikTok,Labubu,27
2025-01-02 02:25:56.764215,TikTok,Capybara,43
2025-01-02 02:25:56.764215,TikTok,Gấu bông,29
2025-01-02 02:25:56.764215,Lazada,Búp bê Barbie,41
2025-01-02 02:25:56.764215,Lazada,Labubu,34
2025-01-02 02:25:56.764215,Lazada,Capybara,30
2025-01-02 02:25:56.764215,Lazada,Gấu bông,25
2025-01-02 02:40:56.764215,Shopee,Búp bê Barbie,49
2025-01-02 02:40:56.764215,Shopee,Labubu,43
2025-01-02 02:40:56.764215,Shopee,Capybara,38
2025-01-02 02:40:56.764215,Shopee,Gấu bông,42
2025-01-02 02:40:56.764215,TikTok,Búp bê Barbie,1
2025-01-02 02:40:56.764215,TikTok,Labubu,47
2025-01-02 02:40:56.764215,TikTok,Capybara,2
2025-01-02 02:40:56.764215,TikTok,Gấu bông,10
2025-01-02 02:40:56.764215,Lazada,Búp bê Barbie,34
2025-01-02 02:40:56.764215,Lazada,Labubu,29
2025-01-02 02:40:56.764215,Lazada,Capybara,14
2025-01-02 02:40:56.764215,Lazada,Gấu bông,11
2025-01-02 02:55:56.764215,Shopee,Búp bê Barbie,42
2025-01-02 02:55:56.764215,Shopee,Labubu,44
2025-01-02 02:55:56.764215,Shopee,Capybara,1
2025-01-02 02:55:56.764215,Shopee,Gấu bông,43
2025-01-02 02:55:56.764215,TikTok,Búp bê Barbie,11
2025-01-02 02:55:56.764215,TikTok,Labubu,18
